LabNo,Sample,Replicate,Method,Method2,MountingMedium,Date,Analyst,InitialWeight_g,SamplePercent,FieldsCounted,Counted,Random10FOV,Conc_per1g,MillionsPer1g,RelativePer1g
QR24_129-1,QR24_129,2,16 SPT,Gur-Arieh,SPT,46036,Analyst 1,0.02499,10,16,85,,5153946.546,5.153946546,34013.60544
QR24_129-10,QR24_129,11,16 SPT,Gur-Arieh,SPT,46044,Analyst 2,0.02367,10,16,98,,6273574.478,6.273574478,41402.61935
QR24_129-11,QR24_129,12,16 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.0241,10,16,114,,7167621.263,7.167621263,47302.90456
QR24_129-12,QR24_129,13,16 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.02441,10,16,94,,5835086.717,5.835086717,38508.80787
QR24_129-13,QR24_129,14,16 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.02133,10,16,94,,6677659.013,6.677659013,44069.38584
QR24_129-14,QR24_129,15,16 SPT,Gur-Arieh,SPT,46049,Analyst 2,0.02368,10,16,111,,7102782.584,7.102782584,46875
QR24_129-6,QR24_129,7,16 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.02188,10,16,142,,9833956.143,9.833956143,64899.45155
QR24_129-7,QR24_129,8,16 SPT,Gur-Arieh,SPT,46040,Analyst 1,0.02207,10,16,113,,7758242.509,7.758242509,51200.72497
QR24_129-8,QR24_129,9,16 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.0217,10,16,105,,7331904.603,7.331904603,48387.09677
QR24_129-9,QR24_129,10,16 SPT,Gur-Arieh,SPT,46041,Analyst 1,0.02327,10,16,122,,7944209.485,7.944209485,52428.01891
QR24_129_CB1-1,QR24_129,1,16 CB,Canti,CB,46038,Analyst 2,0.00324,100,16,97,,4536427.395,4.536427395,29938.2716
QR24_129_CB1-1,QR24_129,1,16 CB,Canti,CB,46040,Analyst 1,0.00324,100,16,110,,5144402.201,5.144402201,33950.61728
QR24_129_CB1-2,QR24_129,1,16 CB,Canti,CB,46038,Analyst 2,0.00324,100,16,66,,3086641.321,3.086641321,20370.37037
QR24_129_CB1-2,QR24_129,1,16 CB,Canti,CB,46040,Analyst 1,0.00324,100,16,92,,4302590.932,4.302590932,28395.06173
QR24_129_CB1-2,QR24_129,1,16 CB,Canti,CB,46040,Analyst 1,0.00324,100,16,108,,5050867.615,5.050867615,33333.33333
QR24_129_CB1-3,QR24_129,1,16 CB,Canti,CB,46038,Analyst 2,0.00324,100,16,84,,3928452.59,3.92845259,25925.92593
QR24_129_CB2,QR24_129,2,16 CB,Canti,CB,46038,Analyst 2,0.0024,100,16,62,,3914422.402,3.914422402,25833.33333
QR24_129_CB2,QR24_129,2,16 CB,Canti,CB,46040,Analyst 1,0.0024,100,16,86,,5429682.687,5.429682687,35833.33333
QR24_129_CB3,QR24_129,3,16 CB,Canti,CB,46038,Analyst 2,0.00254,100,16,71,,4235570.087,4.235570087,27952.75591
QR24_129_CB3,QR24_129,3,16 CB,Canti,CB,46040,Analyst 1,0.00254,100,16,80,,4772473.337,4.772473337,31496.06299
QR24_129_CB4,QR24_129,4,16 CB,Canti,CB,46038,Analyst 2,0.00214,100,16,64,,4531619.543,4.531619543,29906.54206
QR24_129_CB4,QR24_129,4,16 CB,Canti,CB,46040,Analyst 1,0.00214,100,16,71,,5027265.43,5.02726543,33177.57009
