SampleNo,Sample,Hour,Replicate,Method,Method2,MountingMedium,Date,Analyst,InitialWeight_g,SamplePercent,FieldsCounted,Counted,BubbleArea,Cons_per1g,MillionsPer1g,MillionsPer1g_BubbleCorrected,Difference_millionsPer1g
QR24_192-10,QR24_192,0,10,16 SPT,Gur-Arieh,SPT,12/12/25,EJL,0.01533,10,16,175,0,17297491.83,17.3,17.29749183,0
QR24_192-10,QR24_192,1,10,16 SPT,Gur-Arieh1,SPT,12/12/25,EJL,0.01533,10,16,144,0.791,14233364.71,14.2,14.21381854,0.019546166
QR24_192-10,QR24_192,2,10,16 SPT,Gur-Arieh2,SPT,12/12/25,EJL,0.01533,10,16,171,2.033,16902120.59,16.9,16.84246432,0.059656269
QR24_192-10,QR24_192,3,10,16 SPT,Gur-Arieh3,SPT,12/12/25,EJL,0.01533,10,16,177,4.571,17495177.45,17.5,17.35633986,0.138837597
QR24_192-10,QR24_192,4,10,16 SPT,Gur-Arieh4,SPT,12/12/25,EJL,0.01533,10,16,135,11.347,13343779.41,13.3,13.08091159,0.262867821
QR24_192-11,QR24_192,0,11,16 SPT,Gur-Arieh,SPT,12/13/25,EJL,0.01241,10,16,89,0,10866894.87,10.9,10.86689487,0
QR24_192-11,QR24_192,1,11,16 SPT,Gur-Arieh1,SPT,12/13/25,EJL,0.01241,10,16,106,0.791,12942593.89,12.9,12.92482029,0.017773597
QR24_192-11,QR24_192,2,11,16 SPT,Gur-Arieh2,SPT,12/13/25,EJL,0.01241,10,16,109,2.033,13308893.72,13.3,13.26191979,0.046973925
QR24_192-11,QR24_192,3,11,16 SPT,Gur-Arieh3,SPT,12/13/25,EJL,0.01241,10,16,92,4.571,11233194.7,11.2,11.14405072,0.089143981
QR24_192-11,QR24_192,4,11,16 SPT,Gur-Arieh4,SPT,12/13/25,EJL,0.01241,10,16,86,11.347,10500595.04,10.5,10.29373697,0.206858076
QR24_192-11,QR24_192,5,11,16 SPT,Gur-Arieh5,SPT,12/13/25,EJL,0.01241,10,16,49,18.702,5982897.175,6.0,5.788639983,0.194257193
QR24_192-12,QR24_192,0,15,16 SPT,Gur-Arieh,SPT,1/10/26,EJL,0.01958,10,16,240,0,18573159.77,18.6,18.57315977,0
QR24_192-12,QR24_192,1,15,16 SPT,Gur-Arieh1,SPT,1/10/26,EJL,0.01958,10,16,190,0.791,14703751.49,14.7,14.68355935,0.020192131
QR24_192-12,QR24_192,2,15,16 SPT,Gur-Arieh2,SPT,1/10/26,EJL,0.01958,10,16,202,2.033,15632409.47,15.6,15.57723467,0.055174806
QR24_192-12,QR24_192,3,15,16 SPT,Gur-Arieh3,SPT,1/10/26,EJL,0.01958,10,16,174,4.571,13465540.83,13.5,13.35868148,0.106859353
QR24_192-12,QR24_192,4,15,16 SPT,Gur-Arieh4,SPT,1/10/26,EJL,0.01958,10,16,220,11.347,17025396.46,17.0,16.69000206,0.335394399
